*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB Led Drivers
*Date=17:07:27
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
428;;;14.8082;-366.397;0;Bottom;Copper Fill300
429;;;22.8972;-356.321;0;Bottom;Via112
430;;;28.321;-65.3561;0;Bottom;Copper Fill193
431;;5 mm [THT];26.2246;-313.628;0;Bottom;LED64
432;;;21.6154;-340.591;0;Bottom;Copper Fill315
433;;;21.717;-60.1745;0;Bottom;Copper Fill485
434;;;28.321;-47.8301;0;Bottom;Copper Fill203
435;;;21.7424;-316.461;0;Bottom;Copper Fill46
436;;;10.8712;-211.432;0;Bottom;Copper Fill388
437;;;14.8082;-341.759;0;Bottom;Copper Fill312
